[20:56:24] 🚀 Robust Navigation Tester Starting Up
[20:56:24] ✅ Robust Navigation Tester initialized successfully
[20:56:24] 📊 Configuration: Max attempts: 5, Success threshold: 0.15m
[20:56:24] 🟢 Starting navigation tester - waiting for object detections...
[20:56:26] ⚠️ Waiting for AMCL pose...
[20:56:28] ⚠️ Waiting for AMCL pose...
[20:56:30] ⚠️ Waiting for AMCL pose...
[20:56:32] ⚠️ Waiting for AMCL pose...
[20:56:34] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:36] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:38] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:40] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:42] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:44] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:46] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:48] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:50] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:52] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:54] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:56] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:56:58] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:00] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:02] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:04] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:06] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:08] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:10] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:12] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:14] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:16] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:18] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:20] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:22] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:24] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:26] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:28] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:30] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:32] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:34] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:36] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:38] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:40] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:42] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:44] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:46] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:48] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:50] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:52] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:54] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:56] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:57:58] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
[20:58:00] Robot: (0.780, -1.345, 8.1°) | Detection: 🔴 | Navigation: ⚪
