[0.000000] (-) TimerEvent: {}
[0.000996] (-) JobUnselected: {'identifier': 'mecharm'}
[0.001307] (-) JobUnselected: {'identifier': 'mecharm_communication'}
[0.001440] (-) JobUnselected: {'identifier': 'mecharm_interfaces'}
[0.001507] (-) JobUnselected: {'identifier': 'mecharm_pi'}
[0.001662] (-) JobUnselected: {'identifier': 'myarm_300'}
[0.001795] (-) JobUnselected: {'identifier': 'myarm_c650'}
[0.001957] (-) JobUnselected: {'identifier': 'myarm_m750'}
[0.002040] (-) JobUnselected: {'identifier': 'mybuddy'}
[0.002078] (-) JobUnselected: {'identifier': 'mycobot_280'}
[0.002114] (-) JobUnselected: {'identifier': 'mycobot_280_arduino'}
[0.002147] (-) JobUnselected: {'identifier': 'mycobot_280_moveit2'}
[0.002179] (-) JobUnselected: {'identifier': 'mycobot_280_moveit2_control'}
[0.002212] (-) JobUnselected: {'identifier': 'mycobot_280_rdkx5'}
[0.002245] (-) JobUnselected: {'identifier': 'mycobot_280_riscv'}
[0.002278] (-) JobUnselected: {'identifier': 'mycobot_280_x3pi'}
[0.002310] (-) JobUnselected: {'identifier': 'mycobot_280arduino_moveit2'}
[0.002342] (-) JobUnselected: {'identifier': 'mycobot_280jn'}
[0.002373] (-) JobUnselected: {'identifier': 'mycobot_280pi'}
[0.002405] (-) JobUnselected: {'identifier': 'mycobot_280rdkx5_moveit2'}
[0.002438] (-) JobUnselected: {'identifier': 'mycobot_320'}
[0.002471] (-) JobUnselected: {'identifier': 'mycobot_320_riscv'}
[0.002503] (-) JobUnselected: {'identifier': 'mycobot_320pi'}
[0.002534] (-) JobUnselected: {'identifier': 'mycobot_600'}
[0.002566] (-) JobUnselected: {'identifier': 'mycobot_630'}
[0.002598] (-) JobUnselected: {'identifier': 'mycobot_communication'}
[0.002629] (-) JobUnselected: {'identifier': 'mycobot_description'}
[0.002661] (-) JobUnselected: {'identifier': 'mycobot_interfaces'}
[0.002692] (-) JobUnselected: {'identifier': 'mypalletizer_260'}
[0.002724] (-) JobUnselected: {'identifier': 'mypalletizer_260_pi'}
[0.002756] (-) JobUnselected: {'identifier': 'mypalletizer_communication'}
[0.002787] (-) JobUnselected: {'identifier': 'mypalletizer_interfaces'}
[0.002819] (-) JobUnselected: {'identifier': 'object_detector'}
[0.002851] (-) JobUnselected: {'identifier': 'object_search'}
[0.002882] (-) JobUnselected: {'identifier': 'ultraarm'}
[0.002914] (-) JobUnselected: {'identifier': 'vision_msgs'}
[0.002945] (-) JobUnselected: {'identifier': 'vision_msgs_rviz_plugins'}
[0.002980] (-) EventReactorShutdown: {}
